Task,Level,Institution,Exam Type,question,answer,Content,Communicative Achievement,Organisation,Language,Content Feedback,CommunicativeAchievement Feedback,Organisation Feedback,LanguageFeedback
Email,B1,Cambridge,ceq,"Rubric: Write your answer in about 100 words in an appropriate style on the opposite page
To: 
From: Mrs Rose
Subject: New film club
Body: I’d like to start an after-school Film Club.
We can meet either on Monday or Friday afternoon. Which one would you prefer?
Which types of film would you like to see?
I want to provide some food and drink during the films. Is this a good idea?
Please let me know what you think.
Many thanks!
Notes: 
- Note 1:
  Note: That’s great
  Email Part: I’d like to start an after-school Film Club.
- Note 2:
  Note: Explain
  Email Part: We can meet either on Monday or Friday afternoon. Which one would you prefer?
- Note 3:
  Note: Explain which
  Email Part: Which types of film would you like to see?
- Note 4:
  Note: Give your opinion
  Email Part: I want to provide some food and drink during the films. Is this a good idea?","Good afternoon Mrs Rose
I just got your email and I think it’s really great idea 
becase I think lots of people like watching films.
I personally would prefer Mondays because on Fridays 
I often have other plans with my family
I would really love to see some detective or some 
action films but I relly do’t mind watching something 
different.
I think it’s good idea to have some food or drink 
during the film because lots of people are used to 
it because in cinemas they always eat something so i 
think it would 
be great
Have a nice day",5,5,4,4,"All content is relevant to the task.
The target reader is fully informed about all the points in the task and 
there is a direct and clear response to each one in turn. 
The candidate covers the first point, I think it’s really great idea, and 
clearly says which day they would prefer and explains why. The candidate 
explains which types of films they would like to see, and gives an opinion 
about providing food and drink during the films.
This script therefore obtains a 5 for content as the content points are 
addressed and appropriately developed.","The conventions of an email are used, with opening and closing 
salutations appropriate for the candidate’s context, and there is also a 
reference to the 
input email at the beginning: I just got your email. The register is consistent 
and appropriate.
The email holds the reader’s attention throughout, and communicates 
straightforward ideas in direct response to the input email. Points are 
expressed and explained very clearly","The email is well organised and always coherent, with a clearly 
demarcated short paragraph for each point. 
There is some use of referencing as a cohesive device: lots of people 
are used to it
; so i think it would be great, and the text flows naturally, 
although there is over-reliance on some linking words, such as because
.","A range of everyday vocabulary appropriate for the topic is used: 
detective or some action films
; I personally would prefer
; other plans with 
my family
.
There is a good degree of control of language: but I relly do’t mind 
watching something different; lots of people are used to it; in cinemas they 
always eat something. There are very few errors and none which impede 
communication.
The candidate could improve their language mark by evidencing more use 
of complex grammatical forms, and more variety in sentence structure. "
Email,B1,Cambridge,ceq,"Rubric: Write your answer in about 100 words in an appropriate style on the opposite page
To: 
From: Mrs Rose
Subject: New film club
Body: I’d like to start an after-school Film Club.
We can meet either on Monday or Friday afternoon. Which one would you prefer?
Which types of film would you like to see?
I want to provide some food and drink during the films. Is this a good idea?
Please let me know what you think.
Many thanks!
Notes: 
- Note 1:
  Note: That’s great
  Email Part: I’d like to start an after-school Film Club.
- Note 2:
  Note: Explain
  Email Part: We can meet either on Monday or Friday afternoon. Which one would you prefer?
- Note 3:
  Note: Explain which
  Email Part: Which types of film would you like to see?
- Note 4:
  Note: Give your opinion
  Email Part: I want to provide some food and drink during the films. Is this a good idea?","Hey! Thats great!
I’m doesn’t prefer Monday afternoon is doesn’t possible to me, because I have 
tennis classes after school, and next. I am going with Laura houses, and Friday is 
perfect. For me, I don’t have nothing, do you like this day? 
My favorite types of the films is comedi and romantic film, and in the film club was 
another, and you like, we can see, I don’t have any prolem to the film.
Yes, is a very good idea, I am buying some pop corn and a botle water or and sweets 
I don’t know, were you buy in
Kises
WRite me soon and see you soon
Clara!",5,2,2,1,"All content is relevant to the task and each point is addressed and 
developed.
The target reader is fully informed in terms of content, and there is 
information to develop the three main content points.","There is an attempt to use the conventions of the communicative task, 
although this is sometimes inappropriate, for example in the closing 
salutations.
The target reader has to make an effort to follow the ideas in places, but 
overall the points and message are communicated: My favorite types of 
the films is comedi and romantic film; Yes is a very good idea, I am buying 
some pop corn … and sweets …","The email is organised overall in that it covers each point in turn, 
sometimes using paragraphing to separate the points. 
The text is connected using basic linking words: because; and; and next. 
However, the organisation of sentences and use of punctuation, relying 
heavily on commas, results in a style more suitable for informal, spoken 
language rather than that of an organised written communication: … 
because I have tennis classes after school, and next. I am going with Laura 
houses, and Friday is perfect. For me, I don’t have nothing, do you like this 
day?","Basic vocabulary is used reasonably appropriately: tennis classes, 
romantic film, sweets.
There is some degree of control of language at times: I have tennis classes 
after school, and next. I am going …; Friday is perfect. For me; do you like 
this day?
However, the numerous errors and lack of control impede meaning at 
times: I’m doesn’t prefer Monday afternoon is doesn’t possible to me; … 
and in the film club was another, and you like, we can see, I don’t have any 
prolem to the film; … or and sweets I don’t know, were you buy in."
Email,B1,Cambridge,ceq,"Rubric: Write your answer in about 100 words in an appropriate style on the opposite page
To: 
From: Mrs Rose
Subject: New film club
Body: I’d like to start an after-school Film Club.
We can meet either on Monday or Friday afternoon. Which one would you prefer?
Which types of film would you like to see?
I want to provide some food and drink during the films. Is this a good idea?
Please let me know what you think.
Many thanks!
Notes: 
- Note 1:
  Note: That’s great
  Email Part: I’d like to start an after-school Film Club.
- Note 2:
  Note: Explain
  Email Part: We can meet either on Monday or Friday afternoon. Which one would you prefer?
- Note 3:
  Note: Explain which
  Email Part: Which types of film would you like to see?
- Note 4:
  Note: Give your opinion
  Email Part: I want to provide some food and drink during the films. Is this a good idea?","Hello Mrs Rose
Oh, new film club is great idea. It sounds really grait. 
I prefer Friday, because it should be a nice end of the week to watch some films on 
Monday, you have to prepare for the school and watching films, it is for me wasting 
of time when the school week is starting. I really like sci-fi, but I don’t mind any 
different types of films. I will let it up to you which film will you bring. I don’t think 
so, that is a good idea, because after we’ll end we must clear a class and I think it 
can take so much time. 
So these are my ansers
See you soon RICHARD",5,3,3,3,"All content is relevant to the task. The candidate addresses the first three 
notes in the input email (Oh, new film club is great idea. It sounds really 
grait; I prefer Friday … starting; I really like sci-fi … bring). The final point 
is also addressed; the reader may have to refer to the original email to 
check what is being referred to, but this is acceptable.
The target reader is fully informed in terms of content, and there is 
information to develop the points.","The text uses the conventions of an email communication, although it lacks 
any kind of closing salutation or sign-off suitable for the target reader (a 
teacher). 
Straightforward ideas are expressed about the club, which day to hold it 
on, which type of films to show and whether to provide food and drink or 
not.
The tone and register are appropriate throughout and the opening 
salutation may well be suitable in this candidate’s context.","The script is connected and coherent. Basic linking words, such as because, 
but and and are used, together with a limited number of cohesive devices, 
mainly in the form of referencing (it, that).","Everyday vocabulary is generally used appropriately, for example a nice 
end of the week; to prepare for the school; sci-fi; so much time.
Simple grammatical forms are used and some sentences show an attempt, 
not entirely successful, to produce more complex language, e.g. … because 
after we’ll end we must clear a class and I think it can take so much time.
The errors are noticeable, although these frequently arise as a result of 
trying to use more ambitious vocabulary (let it up to you; clear a class) and 
to express more complex ideas and time relationships. Despite the errors, 
the meaning can still be determined"
Article,B1,Cambridge,ceq,"You see this announcement in your school English-language magazine
Articles wanted! 

WHAT MAKES YOU LAUGH? 
Write an article telling us what you find funny and who you enjoy laughing with. 
Do you think it’s good to laugh a lot? Why? 
The best articles answering these questions will be published next month. 
","What makes me laugh? Pretty much everthing. I can start laughing simply from 
watching my cat trying to catch a laser dot on the wall, or a fly. And I laugh even 
more with my friends and family. It is practically the only way we are spending 
with ourselves. We are making jokes, laughing at something or telling funny 
stories about our trips, days at school or our pets. 
I think it is important to laugh a lot, because it makes everyday stress easier to 
handle or it simply wears off! And it makes you look happy, optimistic and ready for 
a challenge.",5,5,4,4,"All content is relevant to the task and the candidate has addressed all the 
questions in the input announcement.
The target reader is fully informed, and there is development of the points, 
in particular of who you enjoy laughing with and the last two questions in 
the input announcement. ","The candidate uses the conventions of the communicative task of an 
article successfully, such as the opening question echoed from the 
input announcement, to obtain the reader’s interest and attention; 
an appropriate informal register and engaging style, which holds the 
reader’s attention throughout; and a clear and motivating concluding 
paragraph. 
Straightforward ideas are communicated in an entertaining way: I can 
start laughing simply from watching my cat trying to catch a laser dot on 
the wall, or a fly. And I laugh even more with my friends.","The article is generally well organised and coherent, using linking words 
and some cohesive devices: I can start laughing … And I laugh even more; 
It is practically the only way; And it makes you look happy.","The candidate uses a range of vocabulary appropriately: Pretty much;
It is practically the only way; making jokes; telling funny stories; it makes 
everyday stress easier to handle or it simply wears off … happy, optimistic 
and ready for a challenge.
Simple grammatical forms are used with a good degree of control, for 
example, I can start laughing simply from watching my cat trying to catch a 
laser dot on the wall. However, the language is less accurate in the second 
part of the first paragraph and present continuous is used incorrectly: 
… the only way we are spending with ourselfs (candidate corrects to 
ourselves)"
Article,B1,Cambridge,ceq,"You see this announcement in your school English-language magazine
Articles wanted! 

WHAT MAKES YOU LAUGH? 
Write an article telling us what you find funny and who you enjoy laughing with. 
Do you think it’s good to laugh a lot? Why? 
The best articles answering these questions will be published next month. 
","I have got many friends who can make me laugh. I am a big optimist, so I love laugh. 
I laugh every time when I am at school, at home, in the park, simply everywhere. My 
dad always makes my laugh, because he is very funny adnd his funny stories are the 
best of the best. If I am alone, I usually watch comedies. But the best comedy serial 
The Simpsons. The yellow family is the funniest family which I know. My favourite 
type of joke is black joke.It is bad, but funny. When I am surfing on the Internet I’m 
always searching videos called “Try not to laugh”. I can’t accept it because it is too 
funny",3,3,3,4,"The target reader is on the whole informed, and knows what the 
candidate finds funny (Dad’s jokes, The Simpsons, black jokes and the 
videos Try not to laugh) and who they enjoy laughing with (friends, Dad). 
There is considerable development of these ideas.
There is no reference however to Do you think it is a good idea to laugh or 
not? and consequently the Why/Why not? questions in the prompt, which 
are completely omitted. ","The text uses an appropriate register and tone for an article, although 
there is very little idea of a target audience, or attempt to address 
readers and hold their attention. 
The text communicates straightforward ideas in response to the input 
prompt questions, e.g. I laugh every time when I am at school, at home, in 
the park, simply everywhere, and But the best comedy serial The Simpsons. ","The text is coherent throughout and connected, using basic linking words, 
such as so, because, but and a limited number of cohesive devices, such as 
referencing and pronouns (it, which, who). 
The candidate could have improved the organisation of the text by 
using longer sentences and more linking between sentences, as well as 
paragraphing","There is some ambition of range, in both vocabulary (optimist, comedies,
surfing on the Internet, searching) and structure (If I am alone, I usually 
watch comedies. The yellow family is the funniest family which I know). 
which is largely successful. 
Overall, the text shows a good degree of control of language, with minimal 
and non-impeding errors, except for the use of accept which is distracting"
Story,B1,Cambridge,ceq,"Your English teacher has asked you to write a story.
Your story must begin with
 ‘I couldn’t believe what I saw when I walked into the classroom.’ 
Write your stor","The teacher couldn’t believe what she saw when she opened the door of the class 
room! There was a Runway, with models, bloggers and every person fashionist in the 
world. The teacher at the beggining was mad, but later she started so happy and 
she fun, like everyone. The runway and party later have a lot of entertainment, 
good music, the food was very delicious. I was fun so much, I meet amaizing people, 
I dance. It was an incredible day, but I have my punishment with the teacher to the 
end.",5,3,3,3,"All content is relevant to the task.
The story clearly and naturally follows on from the prompt sentence in the 
task: There was a Runway with … world.
The target reader is fully informed about the events in the stor","The text uses the conventions of story writing, in generally appropriate 
ways to communicate straightforward ideas. There is a simple narrative 
development (beginning, middle and end), although the switching from 
third to first person is a little confusing: The teacher couldn’t believe; The 
teacher at the beggining was mad, but later she started so happy and 
she fun, like everyone … I was fun so much, I meet amaizing people, I dance.
The conclusion is also a little unclear: … but I have my punishment with the 
teacher to the end.","The story is connected and coherent, using basic linking words and a 
limited number of cohesive devices: There was … and…; The teacher … but 
later she …; It was an incredible day, but … ","Everyday vocabulary is generally used appropriately, (models, bloggers;
mad; entertainment; delicious; an incredible day; punishment. Runway, 
presumably for catwalk, is confusing, but it is a specialised term for the 
level, and clear from context and the use of models and fashionist. 
Simple grammatical forms are used with reasonable control: It was an 
incredible day; The teacher at the beggining was mad, but later she 
started so happy and she fun, like everyone.
Errors are noticeable, but meaning can still be determined: she started 
so happy; she fun; … later have a lot of entertainment; I was fun so much; I 
meet amaizing people; to the end.
In particular, there is inconsistent use of the simple past tense, and the 
candidate could have easily improved their writing by checking this, by 
carefully reading through the script before the end of the exam"
Story,B1,Cambridge,ceq,"Your English teacher has asked you to write a story.
Your story must begin with this sentence:
As I came out of the supermarket, I saw someone that I had wanted to see for a long time.

Write your story","""...Jack climbed out of the boat and ran as fast as he could to the beach. He was
followed by some little and dangerous sharks. When he finally got on the beach, he
realized that he is on a abandonated island. The island wasn't too big -; it was just
around 6 5 0 kilometers in diameter. It was a tropic island with some coconut t r e e s on
it. Suddenly, he saw a boat that crashed on the island's beach. He immediatly ran there,
and helped the boat's capitan. The capitan was a poor old lady. After Jack helped her
to get out of the boat, the old lady sudenly died, because of the accident. Jack was
freaked out, and he tried to build a boat from the coconut trees, to get back home...""",5,5,4,4,"All the content is relevant to the task.
The target reader is fully informed as there is a clear connection between the
story and the prompt sentence.","The story continues from the prompt sentence in an appropriate style. There
is some good use of narrative tenses and descriptive vocabulary, dangerous
sharks; tropic island; coconut trees; crashed, which provide extra details and
help to hold the reader's attention. Straightforward ideas are communicatec
and the story has a clear beginning, middle and an end.","The story is generally well organised despite the fact that it only contains one
paragraph. The use of the past tenses provides a structure to the text and
cohesive devices link the events well, He was followed by; When he finally;
Suddenly; He immediately; After.
Some of the sentences are quite short, but this doesn't affect the structure of
the story.","There is some good use of everyday vocabulary linked to desert islands,
sharks; island; tropic; coconut; freaked out, which help to describe the scene
more clearly.
There is a range of simple and some more complex grammatical forms used
with a good degree of control. For example, He was followed by; he finally
got on; he realized; wasn't too big; he saw a boat that crashed; He immediatly
ran there; he tried to build a boat.
There are some errors with tenses, that he is on and some punctuation slips,
coconut trees, to get back home, but these do not impede."
Essay,B2,Cambridge,ceq,"You must answer this question. Write your question in 140–190 words in an appropriate style on the separate answer sheet

1. In your English class you have been talking about learning languages. Now your English teacher has asked you to write an essay for homework.

Write your essay using all the notes and giving reasons for your point of view.

‘There are more reasons to learn a foreign language than just to pass a test.’
Do you agree?

Notes
Write about:

1. pleasure

2. personal challenge

3. …………………………….. (your own idea)","“There are more reasons to learn a foreign language than to pass a test”
Everything around us revolves around language(s), it is the most important thing in 
our lives. Society would just not function without it. It is our future and I 
would personaly love to learn as many as I possibly can.
Not everything in life is done because it is necessary. Learning a new language can be 
a lot of fun. Many people only do it as a hoby, or their knowledge is something that 
brings them pride and pleasure.
Secondly, we have people who do it simply to challenge themselves. Truly I believe 
that having a great outcome that stems from your hard work and dedication to 
learn something new is a wonderful way to prove your ability to yourself 
and others. Then there is travelling. It is very important to be able to understand 
and have a conversation with someone abroad, unless you would like to get lost or 
worse.
To conclude, I think that learning a new language is an amazing thing no matter why 
you do it. It is always better to do things out of enjoyment, but even if you do it 
for a test, that knowledge will always be useful.",5,5,4,4,"All of the content is relevant to the task. The candidate has discussed 
pleasure, personal challenge and travel as different motivations for 
learning a language, so the target reader is fully informed.","The conventions of the essay genre have been used effectively to hold 
the target reader’s attention. Straightforward and complex ideas have 
been communicated: Everything around us; Not everything in life is done 
because it is necessary; unless you would like to get lost or worse; I think 
that learning a new language is an amazing thing no matter why you do it.","The text is well organised and coherent, using a variety of linking words 
and cohesive devices: without it. It is; as many as I possibly can; only do it; 
people who do it; Then there is travelling; To conclude; that knowledge","A range of vocabulary, including less common lexis, is used appropriately: 
revolves around; function; a great outcome; stems from; no matter why.
A range of simple and some complex grammatical forms has been used 
with control and some flexibility: It is our future … possibly can; Many 
people … pleasure; Truly … others; It is very important … worse; It is always 
… be useful.
The errors do not impede communication: … personaly; hoby."
Essay,B2,Cambridge,ceq,"You must answer this question. Write your question in 140–190 words in an appropriate style on the separate answer sheet

1. In your English class you have been talking about learning languages. Now your English teacher has asked you to write an essay for homework.

Write your essay using all the notes and giving reasons for your point of view.

‘There are more reasons to learn a foreign language than just to pass a test.’
Do you agree?

Notes
Write about:

1. pleasure

2. personal challenge

3. …………………………….. (your own idea)","Learning foreign languages is very important nowadays. English, in particular, is 
essential because it is spoken all over the world. That’s the reason why we 
start studying it from the age of six years old. Going abroad and being able to speak 
to native people is very satisfying and that’s why I want to improve my knowledge 
about foreign languages.
I decided to take this exam to know how high my level of English is, but also because 
I need this certification to go abroad next summer. I really want to come back to 
Cornwall, an amazing region in the South-West of England. I’ve been there twice 
with my family, but now I want to go alone. Only being to England I can really 
improve my English comprehension and speaking skills.
Fortunately I can will have some lessons taught in English at university 
and I can’t wait for it because it will be an interesting challenge for me.
Studying foreign languages is essential to live and to travel. It isn’t simple and I 
surely have to challenge myself everyday, but the result is so satisfying that we I 
can’t do without it.",3,4,3,4,"There is some minor irrelevance here, since the focus of the discussion 
seems to be the candidate’s personal experience and motivation, and 
the points about learning for pleasure and personal challenge are only 
incidentally addressed. The target reader is on the whole informed","The conventions of the essay genre have been used to hold the target 
reader’s attention. Straightforward and some complex ideas have been 
communicated: English, in particular, is essential; Going abroad and being 
able to speak to native people is very satisfying; an interesting challenge 
for me; Studying … do without it.","The text is generally well organised and coherent, using a variety of linking 
words and cohesive devices: That’s the reason why; that’s why; but also 
because; I’ve been there; I can’t wait for it; without it.","A range of vocabulary, including less common lexis, has been used 
appropriately: an amazing region; comprehension and speaking skills;
Fortunately; the result is 
so satisfying.
A range of simple and complex grammatical forms has been used with a 
good degree of control: That’s the reason … six years old; I decided … next 
summer; I’ve been there … go alone; Fortunately … for me.
The errors do not impede communication: knowledge about; come back;
Only being to England I can; everyday."
Story,B2,Cambridge,ceq,"Stories wanted
We are looking for stories for our new English-language magazine for teenagers. Your story must begin
with this sentence:
When Susie’s family arrived at the hotel, they were surprised to see hundreds of photographers waiting 
outside.
Your story must include: • a famous person • a request","When Susie’s family arrived at the hotel, they were surprised to see hundreds of 
photographers waiting outside. They had no idea what was going on. Everyone acted 
like crazy. It wasn’t a famous hotel. The only thing less famous than the hotel itself 
are the clients of this hotel. So why would any photographer or journalist be 
interested in this place?
Because they already had a reservation, they entered the hotel. Everything seemed 
normal, until they went on a dinner. They hadn’t had a proper meal the whole day, so 
a restaurant in the hotel was what they had been looking forward to.
After they recieved their meal, their happiness disappeared. It was disgusting, 
the steaks they ordered were dry like a shoe. Before they managed to chew those 
steaks, a celebrity showed up. It was Gordon Ramsay, a famous chef. He
had been shooting his series “Hotel Hell” here. He asked everyone to leave. Unusual 
request, but not from him. That was it, he closed the kitchen. Everyone knew what 
that meant … and regreted every bite.",5,4,3,5,"All content is relevant to the task.
The story carries on from the prompt and includes a famous person and a 
request, so the target reader is fully informed","The conventions of a story, such as chronological development, narrative 
verb forms, and varying sentence length for dramatic effect, are used to 
hold the target reader’s attention. Straightforward and complex ideas are 
communicated: They had no idea what was going on; Everything seemed 
normal, until
; They hadn’t had a proper meal 
…
; That was it
.","The text is generally well organised and coherent, using a variety of linking 
words and cohesive devices: So why would 
… ? Because they already
; After 
they recieved
; those steaks
; knew what that meant
.","A range of vocabulary, including less common lexis, is used appropriately: 
the clients
; had a reservation; a proper meal
; looking forward to
;
disgusting
; to chew
; a celebrity
; showed up
; a famous chef; shooting his 
series
; regreted every bite
.
A range of simple and complex grammatical forms is used with control and 
flexibility: They had no idea … 
; The only thing less famous than the hotel 
itself; why would … be interested
; was what they had been looking forward 
to
; He had been shooting his series. 
There are a few errors, which do not impede communication."
Story,B2,Cambridge,ceq,,,,,,,,,,
Email,B2,Cambridge,ceq,"From: Jo
Hi,
You know I’ve joined my local swimming team – well, I love it! We train every Tuesday and Thursday 
after school. Now my parents want me to go to an extra maths class on Tuesdays, so I won’t be able to 
swim then.
How do you think I can persuade them to change their minds?
Write soon,
Jo","Hi Jo,
It is good to receive news from you! I bet you are swimming like a fish. Do you 
remember when we were kids and we made a few races in Angelina’s pool?
I understand why you are trying to persuade them but remember that they want 
your best. If I were you firstly I would try to talk with your swimming coach and ask 
him about the possibilities of training another day. Then if the answer would have 
been negative I will try to do the same with yours future math teacher. I 
am sure that everyone knows the importance of practising sports while studying. 
So they will find a solution.
If everything doesn’t happen as you and I expect ensure that your 
parents don’t get mad with your decision. They are giving their best! Put your 
education in first place. Opportunities to swim you will have a lot during your 
life. Moreover, you can come to Barcelone and try to catch me in the pool.
Good luck,
Sam",5,4,3,3,"All of the content is relevant to the task. The question in the input has been 
answered in detail, and the target reader is fully informed. ","Although the style is slightly formal in places, the conventions of the email 
genre have been used effectively to hold the target reader’s attention 
and communicate straightforward ideas: Hi Jo
; I bet you are swimming like 
a fish
; Do you remember when
; I understand why
; If I were you
; you can 
come to Barcelone and try to catch me in the pool
; Good luck
.","The text is generally well organised and coherent, using a variety of linking 
words and cohesive devices: talk with your swimming coach and ask him
;
Then
; the answer
; do the same
; so
; Moreover","A range of everyday vocabulary is used appropriately, with occasional 
inappropriate use of less common lexis: swimming like a fish
; kids
; made a 
few races
; pool
; they want your best
; coach
; find a solution
; ensure
; giving 
their best
; catch me
.
A range of simple and some complex grammatical forms has been used 
with a good degree of control: I understand 
… best
; If I were you 
… another 
day
; I am sure 
… solution
; If everything 
… decision
; Opportunities 
… your 
life
.
The errors do not impede communication: if the answer would have been 
negative I will try
; yours
; Opportunities to swim you will have
."
Email,B2,Cambridge,ceq,,,,,,,,,,
