Task,Level,Institution,Exam Type,question,answer,Content,Communicative Achievement,Organisation,Language,Content Feedback,CommunicativeAchievement Feedback,Organisation Feedback,LanguageFeedback
Review,B2,Cambridge,ceq,"Articles wanted
How to have fun without spending too much money
Life can be expensive – especially for teenagers!
Tell us how you and your friends have fun without spending a lot of money.
The best article will be published in next month’s magazine.","By watch a nature and birds are the best to take pleasure there is different feeling 
to have fun in nature. Nature make us happy and relive stress. I think to Have fun 
it would be bether to stay with nature because it is the best place to have fun.
So, It would be better to have fun in Nature with friends.
We went last Saturday to Chiseni for traking and which we was climbing
we saw many trees and fruits we also saw water fall and river we play there and by 
on the grass on the top mid of at hill there was picnic spot where many people 
was doing picnic there. we also joint them as they invited to join them we had 
a lot of fun there by dancing sing and By having delicious food so, I suggest 
you to go such place where we can have a lot of fun and less money can be spend.",5,4,2,2,"All content is relevant to the task.
The target reader is fully informed. The text describes how the writer and 
his/her friends have fun without spending a lot of money: to Have fun it 
would be bether to stay with nature; we had a lot of fun there by dancing 
… ; less money can be spend","Conventions of an article, such as using a personal narrative to illustrate 
a point and making a suggestion to the reader are used. The target 
reader’s attention is held more effectively in the second part of the text, 
due to a lack of cohesion in the first paragraph. Straightforward ideas are 
communicated: We went last Saturday to Chiseni; I suggest you to go such 
place.","The text has an overall organisation, with a progression of ideas, although 
cohesion within paragraphs is not always successful. There is a variety of 
linking words and cohesive devices: because it is the best place; we also 
joint them; we play there; picnic spot where many people; as they invited;
so, I suggest you.","There is some overuse of certain lexis in the first paragraph, but then there 
is some range of everyday vocabulary appropriate to the topic: take 
pleasure; relive stress; climbing; water fall; picnic spot; delicious food.
Simple grammatical forms are used with a good degree of control: Nature 
make us happy; to Have fun it would be bether to stay with nature; they 
invited to join them; we had a lot of fun there by dancing; less money can 
be spend.
Errors do not impede communication."
Review,B2,Cambridge,ceq,,,,,,,,,,
Essay,C1,Cambridge,ceq,"You must answer this question. Write your answer in 220–260 words in an appropriate style on the separate answer sheet.

1. Your class has listened to a discussion about the role of journalists in society. You have made the notes below:

Aspects of the role of journalists in society:
• provide information
• influence opinion
• inspire action

Some opinions expressed in this discussion:
‘A good journalist will simply set out the facts accurately.’
‘A good article won’t change my views on a subject.’
‘Many successful campaigns have resulted from stories in the press.’

Write an essay for your tutor discussing two of the aspects of the role of journalists in your notes. You should say which aspect of their role you think is more important, giving reasons for your opinion.
You may, if you wish, make use of the opinions expressed in the discussion, but you should use your own words as far as possible.","It is clear for everyone that this century is the era of mass media. There are plenty 
of supporters of the theory of media being „the forth power“. But we should 
discuss the role of a journalist in this world of information.
First of all, the main purpose of journalism is to provide a society with the news. 
Mass media is able to connect main social institutions, that is why without the 
news our society is not able to function. But at the same time we should look after 
the quality of information : it should be reliable, trust-worthy and presented in a 
neutral way. Nowadays at the golden age of tabloids, when this principle seems to be 
forgotten we need to bring back to life the image of an honest journalist who is a 
servant of society.
Though today journalism is seen as an evil instrument of manipulation it has not 
always been like that. At the beginning of the twentyeth century there was the 
start of the investigative journalism. The correspondents tried to change the 
world, fighting against illegal or immoral actions of a government. With the help of 
these brave soldiers of pen there were numerous cases when social catastrophies 
were prevented.
To sum up I would like to say that there is much more behind journalism than simply 
telling the news. In my opinion journalists should inspire people to change the society 
for the better.",5,3,4,4,"All content is relevant to the task.
The target reader is fully informed about two aspects of the role of journalists 
(providing information and inspiring action) and which of these the writer 
considers most important: there is much more behind journalism than simply telling 
the news. In my opinion journalists should inspire people to change the society for 
the better.","The conventions of essay writing are used effectively. There is a clear development 
of the topic from introduction through to conclusion and the style is consistently 
appropriate, using an objective tone, which holds the reader’s attention throughout.
Straightforward and some more complex ideas, for example when discussing 
people’s attitudes to journalism, are communicated.","The text is well organised and coherent. The writer uses a variety of cohesive 
devices with flexibility to connect ideas both within and across sentences: that is 
why; Nowadays, when this principle seems to be forgotten; an honest journalist who 
is a servant of a society; With the help of these brave soldiers of pen; To sum up, and 
move the argument forward. 
Organisational patterns are used to generally good effect, for example the use of 
inversion for emphasis: that is why without the news our society is not able to function;
Though today journalism is seen as … it has not always been like that. However, more 
attention to punctuation would improve the overall effect of the text.","A range of vocabulary, including some less common lexis appropriate to the topic, 
is used generally effectively: the era of mass media; the golden age of tabloids;
principle; servant of a society; an evil instrument of manipulation; investigative 
journalism; immoral actions; brave soldiers of pen; catastrophies, although there are 
occasional instances of less appropriate usage: look after the quality of information;
trust-worthy [information].
A range of simple and complex grammatical forms is used with control and 
flexibility. There are slips, for example with the use of articles, but these do not 
impede communication."
Essay,C1,Cambridge,ceq,"You must answer this question. Write your answer in 220–260 words in an appropriate style on the separate answer sheet.

1. Your class has listened to a discussion about the role of journalists in society. You have made the notes below:

Aspects of the role of journalists in society:
• provide information
• influence opinion
• inspire action

Some opinions expressed in this discussion:
‘A good journalist will simply set out the facts accurately.’
‘A good article won’t change my views on a subject.’
‘Many successful campaigns have resulted from stories in the press.’

Write an essay for your tutor discussing two of the aspects of the role of journalists in your notes. You should say which aspect of their role you think is more important, giving reasons for your opinion.
You may, if you wish, make use of the opinions expressed in the discussion, but you should use your own words as far as possible.","When you read an article in the newspaper, you either want to inform yourself 
about the issue or the title and topic seem interesting enough to warrant you to 
read it. Clearly, newspapers or television news are our main source of information in 
our society, which are written or presented by journalists. Journalists are people, as 
we all are, and therefore have an opinion on everything they experience, especially 
when they do research on the topic they are writing about.
The main goal of presenting valuable information to the public is often 
overshadowed by the inability to exclude their own opinion on the matter. Surely, 
the expression of opinion is often desired in some newspapers, but it should not be 
done at the cost that some journalists deliberately exclude important facts on the 
issue or change certain statements.
Naturally, no one can write any kind of text completely void of opinion. Though, it 
is not necessary to push our society via articles or other means towards a singular 
opinion, which can be considered wrong sometimes due to the lack of valuable 
information.
A good article has to be something we can gather complete and correct information 
from with little input on what the author thinks. Otherwise, people would be 
inclined to believe that opinion completely and would instantly adept it without 
establishing their own one.",5,3,3,4,"All of the content is relevant to the task.
The target reader is fully informed. There is information about two aspects of 
the role of journalists: providing information and influencing opinion. The writer 
supports the idea that providing information is more important as negative ideas 
are put forward about how journalists sometimes influence opinions","The conventions of an essay have been used effectively to hold the target reader’s 
attention. The writer has taken a clear stance on the topic while conceding 
that the issue is not straightforward, therefore expressing more complex ideas: 
Journalists are people, as we all are, and therefore have an opinion; Surely the 
expression of opinion is often desired in some newspapers, but it should not be done 
at the cost that some journalists deliberately exclude important facts","The text is well organised and coherent, using a variety of cohesive devices and 
organisational patterns to generally good effect. The writer uses concession to 
support the argument, admitting first that there are pressures on journalists to 
express opinions before insisting that the need for objective information overrides 
these pressures: The main goal of presenting valuable information to the public is 
often overshadowed by the inability to exclude their own opinion on the matter; A 
good article has to be something … Otherwise …","A range of vocabulary, including less common lexis, is used effectively and 
precisely: do research; overshadowed by; deliberately exclude; completely void of; 
gather complete and correct information. A range of grammatical forms is used 
with control and flexibility: seem interesting enough to warrant you to read it; 
people would be inclined to believe.
There are occasional errors, but these might be slips and they do not impede 
communication: singular opinion; adept."
Essay,C1,Cambridge,ceq,"You must answer this question. Write your answer in 220–260 words in an appropriate style on the separate answer sheet.

1. Your class has listened to a discussion about the role of journalists in society. You have made the notes below:

Aspects of the role of journalists in society:
• provide information
• influence opinion
• inspire action

Some opinions expressed in this discussion:
‘A good journalist will simply set out the facts accurately.’
‘A good article won’t change my views on a subject.’
‘Many successful campaigns have resulted from stories in the press.’

Write an essay for your tutor discussing two of the aspects of the role of journalists in your notes. You should say which aspect of their role you think is more important, giving reasons for your opinion.
You may, if you wish, make use of the opinions expressed in the discussion, but you should use your own words as far as possible.","There are a lot commonly known aspects about the role of a Journalist in Society. 
In this Essay I will discuss two of them.
The first point is to provide Information. An Journalists job is it to provide 
Informations as well as facts about a special topic. He has to do it in the way that 
the reader will get no difficulties to understand it and build his own opinion. It 
is also important to write from a neutral point of view to not influence 
the readers opinion. The article should only be about the topic and nothing else 
otherwise the reader could be confused. The Journalist also has to
include all the known facts and Informations to let the reader know everything 
about what he is reading.
The other point I want to talk about is the Journalists influence on the readers 
opinion. A well written article about a Topic shouldn’t change the readers view 
on the subject. Also significant is to give the consumer room to made up his own 
opinion, the writer can do this In the way he writes and with the formulation and construction of his article. Sometimes It is essential that the writer 
gives his own opinion about the topic he is writting and sometimes it is important 
to influence the writers opinion, with facts the reader may not know for example.
From my point of view providing Information is the more Important aspect. 
A reason therefor is that even if the article influences the readers mind about it 
the Journalist provides Informations and that’s the essential point. Another point 
that lets me think this way is that to write about something includes 
giving facts and Informations about it, and that’s why he writes the article and the 
reader reads it.",5,2,2,2,"All content is relevant to the task.
The target reader is fully informed. Two roles of journalists in society are discussed, 
providing information and influencing opinions, with the former being chosen as 
the most important aspect of the role","The conventions of an essay, such as setting out the parameters of the discussion 
in the first paragraph and the use of an objective, neutral tone, are used effectively 
to hold the target reader’s attention and communicate straightforward ideas. 
There is an attempt to communicate more complex ideas, but this is sometimes 
unsuccessful due to language slips: it is essential that the writer gives his own 
opinion about the topic he is writting and sometimes it is important to influence the 
writers [reader’s] opinion, with facts the reader may not know.","The text is well organised and coherent. There is good structure to the text, which 
develops logically, and a variety of linking words and cohesive devices are used to 
connect the ideas within and across paragraphs: The first point; It is also; otherwise;
The other point; Sometimes; From my point of view; therefor; even if; Another point.","There is a range of vocabulary, including some less common lexis and collocations, 
which is used appropriately: commonly known aspects; neutral point of view;
influence … opinion; well written; give the consumer room to; formulation and 
construction.
There is a range of simple and some complex grammatical forms used with a good 
degree of control: should only be about; could be confused; can do this In the way he 
writes.
However, there are errors with tenses, punctuation and spelling but these do not 
impede communication: is it to provide; get no difficulties; readers; to made up;
writting; writers; informations."
Report,C1,Cambridge,ceq,"3. At the college where you study English, you recently organised a special day to raise money for charity. The 
Principal of the college has asked you for a report about the day. In your report, you should outline what activities 
were organised, evaluate the success of the day and make suggestions for future fundraising events.
Write your report.","REPORT – THE CHARITY DAY
INTRODUCTION
The principle aim of this report is to provide information about The Chariety Day which took 
place on the last Sunday. It was organized to support The Centre for parentless children in 
Chicago. ^ (CPC)
WHAT WAS HAPPENING THERE?
The purpose of the event was to raise money for the CPC. Visitors could try numerous 
activities they might not have a chance to try normally. Activities offered included:
• horseback riding
• curling
• golf
• fencing
and many other.
WHAT WAS SUCCESSFUL?
It made us very happy that all the people who came could find something they liked. Either 
adults accompanying their songs and daughters or children just entering an elementary 
school had a lot of fun. The most favoured activity was definitely curling. Visitors of all ages 
kept coming and purchasing tickets allowing them to participate in the game.
A group of people willing to donate money to the CPC is also hold to be a great success 
since The Charity Day’s aim was to support the CPC as much as possible.
RECOMMENDATIONS
As far as reaching the day’s target is concerned, I must state that the event has 
been the most successful fundraising action at our school this year. However, not everything went 
well during the day. Plans were not thinking about the possibility of rain and when it began to rain 
in the morning, it seemed just a few people would turn up and have fun at the playground of 
the school. Fortunately, it stopped 20 minutes later and the weather was pleasant for the rest 
of the day. Therefore, both dry and wet scenarios have to be designed next time.",5,3,3,3,"All of the content is relevant to the task.
The target reader is fully informed about all aspects in the task: the activities 
arranged, an evaluation of the day and suggestions for future events.","The conventions of a report, such as a neutral tone throughout and clear headings, 
are used effectively to hold the target reader’s attention and clearly communicate the 
specific aspects of the task, outlining the activities, evaluating the success of the day, 
making suggestions for future events: The principle aim of this report is to; The purpose 
of the event; Activities offered included; I must state that the event has been the most 
successful fundraising action at our school this year; both dry and wet scenarios have to be 
designed next time.","The text is well organised and coherent. There is a variety of suitable cohesive devices 
and organisational patterns such as sub-headings, punctuation and bullet points, 
which are used to generally good effect: Introduction; What was happening there?;
Activities offered included; all the people who came; The most favoured activity; What was 
successful?; Recommendations; However; when it began.","A range of vocabulary, including less common lexis, is used appropriately: took place;
curling; fencing; allowing them to participate in the game; turn up.
A range of simple and complex grammatical forms is used with control and flexibility: 
It was organized to support; adults accompanying their songs and daughters or children just 
entering an elementary school; it seemed just a few people would turn up and have fun.
There are occasional errors, but these do not impede communication: Plans were not 
thinking about."
Report,C1,Cambridge,ceq,"3. At the college where you study English, you recently organised a special day to raise money for charity. The 
Principal of the college has asked you for a report about the day. In your report, you should outline what activities 
were organised, evaluate the success of the day and make suggestions for future fundraising events.
Write your report.","After the event I organised with the other school representatives, in order to raise 
funds for charity, it can be said that it was a success. This even made a really good 
image for the school, even because most of the students came.
The event took place last saturday afternoon, and every member of the school 
was invited with the family and friends who desires to participate. Being close to 
the Christhmas period we invited people to bring clothes, toys, books and 
everything they would like to donate to less fortunate people. All those things were 
then given to a charity association that help people of the city and 
even of other countries such as Romania and Brazil.
Beyond of this we even sold creative christhmas object that two classes made 
during a workshop in the last month. For entertaining everybody with something 
useful two associations came to present  themselves and their activities. After this people were free to make offers and the amazing thing is that most of the participants donated something.
This day shoud to be considered a real success because of the high number of people 
who came, which is around five hundreds. The positive thing is that 
everyone participated actively and happily in a way I have rarely seen. Many objects 
and money were donated and this improved the life of many people with 
little effort.
Concluding I suggest to do this event every year around the Christhmas 
period because is a way of doing something positive in an easy and happy way. 
Not only because many people came, but also because we helped many unlike families.",5,3,2,2,"All content is relevant to the task.
The target reader is fully informed about the points in the task. There is 
information about the activities which took place, an evaluation of the day and 
suggestions about future similar events.","The conventions of a report, such as a neutral tone throughout, are used 
effectively to hold the target reader’s attention. There is a reflective tone, and 
functional language is used to describe and evaluate the events on the day. 
Straightforward and some complex ideas are communicated: it can be said that it 
was a success; This day shoud to be considered a real success because of; The positive 
thing is that.","The text is well organised and coherent. Although there are no headings, which are 
usually used to organise a report, the sections are clearly introduced and focus on 
one aspect of the task at a time. There is a variety of linking words and cohesive 
devices, but there is some awkwardness at times, for example the first line of the 
text and even because; Beyond of this.","There is a range of vocabulary used appropriately for the task: donate; less 
fortunate people.
A range of simple and complex grammatical forms is used with control: who 
desires to participate; Being close to; those things were then given to; to be 
considered; everyone participated actively and happily in a way I have rarely seen.
Errors are present, including tense control and plural agreement, but these do not 
impede communication: object; This day shoud to be; many unlike families."
Review,C1,Cambridge,ceq,"You see this announcement in an international music magazine:

Music of your homeland
We would like to know which pieces of music readers feel represent their country well. Send us a review 
about two popular pieces of music from your country, comparing them, explaining which ways they 
reflect the positive aspects of your country’s culture, and recommending which one a visitor to your 
country should definitely listen to.
We will publish the best review.

Write your review.
","At first I was doubting a lot about wich two songs should I pick for representing
Spain, my homeland, but I have decided to select two regional ones.
The first of it is “Ikusi Mendizaleak”. It talks about the place where I was born the 
Basque Country. Almost all people here knows it so I think 
it can be representative for this norther Spain territory. The song talks 
about a group of people that go to the mountains and see beautifull places with 
green grass and a lot of forests. It is a great description of Basque Country wich is 
full of precious, natural places and mountains so worthy to visit. Also it talks about 
how even though you can be tired and the path can be hard you can never give up 
untill you make it to your objective, wich I think is a great and strong message.
The second song I have chosen for representing my homeland is about Seville wich 
is 1000km far away from the Basque Country. I can’t remember the song title but 
here in Spain we all know it. It starts with “Sevilla tiene un color especial” this 
meaning Seville has a special colour. It describes the beautifull places the city has 
and how special these are for their people. Also talks about how the
locals are different from the rest of Spain and how happy and well they live.
To summarise if you ever wanted to go to the north of Spain you should definitely 
listen to the first one and if you wanted to go South to the second, both of them 
are marvelous places to visit and stay!",5,3,3,2,"All content is relevant to the task.
The target reader is fully informed. There is information about two pieces of music 
and how they relate positively to the country of origin, particularly in terms of the 
characteristics of the people living in different regions. A clear recommendation is 
made, referring to where the reader may want to visit","The conventions of a review are used effectively to hold the target reader’s 
attention and communicate straightforward and complex ideas. The tone is 
positive and encouraging: It is a great description; is a great and strong message; how 
special these are for their people; you should definitely listen.","The text is well organised and coherent, using a variety of cohesive devices and 
organisational patterns to generally good effect: At first; so I think it can be; even 
though you can be tired … you can never give up; The second song; both of them.
There is a clear structure to the text through the use of paragraphing and each 
paragraph has a clear focus and internal structure.","A range of everyday vocabulary, and some less common lexis, is used 
appropriately: my homeland; representative; make it to your objective.
A range of simple and some complex grammatical forms is used with a good 
degree of control: Also it talks about how even though you can be tired and the path 
can be hard you can never give up until you make it to your objective.
There are some errors: The first of it is; beautifull; wich is 1000km far away from; Also 
talks about, but these do not impede communication."
Review,C1,Cambridge,ceq,"You see this announcement in an international music magazine:

Music of your homeland
We would like to know which pieces of music readers feel represent their country well. Send us a review 
about two popular pieces of music from your country, comparing them, explaining which ways they 
reflect the positive aspects of your country’s culture, and recommending which one a visitor to your 
country should definitely listen to.
We will publish the best review.

Write your review.
","Music of my homeland: ‘The River’
Did you know that in China traditional music enjoys just as much popularity as 
modern Pop music? As someone who usually listens to the younger generation-radio, 
I could hardly believe the parallel success of the two completely different styles of 
music – until I listened to the traditional song ‘The River’ for the first time.
Unlike the current number one single ‘little red apple’ in the modern charts, which 
is full of positive energy and easy to dance to, ‘The River’ provides a deep insight 
into the Chinese history and its culture. Just by listening to this traditional and 
sentimental song one gets the feeling of being lifted into another space and time, 
when thousands of years ago the Chinese farmers were working hard in the rice 
fields, surrounded by the astonishing sound of massive river waves. If one closes the 
eyes, one can almost see the idyllic nature of giant China, in front of oneself, long 
before the Industrial Revolution and wars.
And if you are not a fan of traditional music, don’t be put off by its title. ‘The 
River’ provides more than simply the description of nature, but it also throws an 
interesting light on the mentality of the Chinese: the strong mind, the persistance, 
the never-ending motivation, that still can be seen today.
In conclusion, ‘little red apple’ is for me a good and popular song in China, which can 
easily cheer you up, representing the positive attitude of the Chinese. But if you 
want to turn away from Westernized music, ‘The River’ is definitely the Chinese 
song that I would recommend to anybody who wants to visit my homeland and to 
learn about the Chinese culture from its earliest stages.",5,4,3,4,"All content is relevant to the task.
The target reader is fully informed about the two pieces of music and there is a 
clear recommendation of which one a visitor to China should listen to.","The review is written in a natural, confident style and by addressing the reader 
directly, the tone is engaging throughout: Did you know that … ; one gets the 
feeling of; And if you are not a fan of. Straightforward and complex ideas, for 
example when considering the connection between the two pieces of music (first 
paragraph) and describing the effect of listening to ‘The River’ (second paragraph) 
are communicated effectively.","The text is well organised and coherent. The ideas are connected within and across 
sentences and paragraphs using a variety of cohesive devices: As someone who; of 
the two completely different styles of music; And if you are not … ; don’t be put off by 
its title; which can easily cheer you up.
Sentences are generally long and complex and there is some use of organisation 
patterns, for example ordering information in sentences to create anticipation: As 
someone who … until I listened to … ; Unlike the current number one … ‘The River’ 
provides …","A range of vocabulary, including some less common lexis, is used effectively: 
a deep insight into; sentimental song; idyllic; throws an interesting light on the 
mentality; persistance; never-ending motivation, although there are occasional 
instances of less appropriate usage resulting from ambition: parallel success;
astonishing sound; giant China.
A range of simple and complex grammatical forms is used with control and 
flexibility. There are minimal slips, for example with the use of articles and the 
incorrect spelling of persistance, but these do not impede communication."
